,SO,dumb,SB,CS
0,7,1.0,1,0
1,4,1.0,0,0
2,8,1.0,0,1
3,4,1.0,0,0
4,8,1.0,0,1
5,3,1.0,1,0
6,4,1.0,0,1
7,3,1.0,0,1
8,7,1.0,2,1
9,3,1.0,0,0
10,0,1.0,0,0
11,6,1.0,0,0
12,5,1.0,2,0
13,1,1.0,0,0
14,5,1.0,1,0
15,8,1.0,0,0
16,1,1.0,0,1
17,6,1.0,1,1
18,5,1.0,0,0
19,2,1.0,0,1
20,5,1.0,0,0
21,4,1.0,0,0
22,6,1.0,0,1
23,8,1.0,1,0
24,5,1.0,0,0
25,4,1.0,1,0
26,1,1.0,0,1
27,6,1.0,1,0
28,4,1.0,0,1
29,2,1.0,0,0
30,8,1.0,1,0
31,7,1.0,1,1
32,6,1.0,1,0
33,8,1.0,0,0
34,10,1.0,0,0
35,3,1.0,0,0
36,7,1.0,0,1
37,3,1.0,0,1
38,1,1.0,0,0
39,4,1.0,2,1
40,4,1.0,0,0
41,6,1.0,0,0
42,6,1.0,0,1
43,8,1.0,0,0
44,4,1.0,6,1
45,7,1.0,0,0
46,6,1.0,1,2
47,5,1.0,0,1
48,8,1.0,1,0
49,2,1.0,0,1
50,9,1.0,2,0
51,4,1.0,0,0
52,3,1.0,2,0
53,6,1.0,0,0
54,3,1.0,1,0
55,3,1.0,1,0
56,6,1.0,6,0
57,10,1.0,3,0
58,2,1.0,0,0
59,6,1.0,0,0
60,3,1.0,0,0
61,3,1.0,2,1
62,10,1.0,0,0
63,1,1.0,0,0
64,6,1.0,0,0
65,3,1.0,1,1
66,8,1.0,1,1
67,6,1.0,0,0
68,10,1.0,3,0
69,3,1.0,3,2
70,11,1.0,3,0
71,3,1.0,0,0
72,5,1.0,1,0
73,2,1.0,1,0
74,6,1.0,0,0
75,2,1.0,0,0
76,5,1.0,0,2
77,2,1.0,1,1
78,3,1.0,1,0
79,8,1.0,0,0
80,7,1.0,1,1
81,8,1.0,1,0
82,3,1.0,0,0
83,1,1.0,0,1
84,6,1.0,1,1
85,6,1.0,1,0
86,5,1.0,0,0
87,5,1.0,0,1
88,5,1.0,3,0
89,1,1.0,1,1
90,3,1.0,1,0
91,6,1.0,1,1
92,4,1.0,1,0
93,11,1.0,0,0
94,6,1.0,0,0
95,6,1.0,1,0
96,4,1.0,1,1
97,6,1.0,0,1
98,2,1.0,0,1
99,1,1.0,3,1
100,8,1.0,0,0
101,8,1.0,0,0
102,4,1.0,0,0
103,3,1.0,0,0
104,7,1.0,4,0
105,6,1.0,0,1
106,6,1.0,1,3
107,4,1.0,1,1
108,6,1.0,0,0
109,4,1.0,1,0
110,4,1.0,0,0
111,4,1.0,1,0
112,8,1.0,0,0
113,4,1.0,3,0
114,6,1.0,2,0
115,10,1.0,1,0
116,6,1.0,0,0
117,3,1.0,2,0
118,9,1.0,4,0
119,10,1.0,2,0
120,6,1.0,0,1
121,6,1.0,1,1
122,3,1.0,0,0
123,6,1.0,2,1
124,4,1.0,1,1
125,5,1.0,0,1
126,6,1.0,1,0
127,6,1.0,0,1
128,5,1.0,0,1
129,6,1.0,0,0
130,4,1.0,0,0
131,11,1.0,3,1
132,6,1.0,0,0
133,6,1.0,2,1
134,1,1.0,0,0
135,4,1.0,0,1
136,4,1.0,0,0
137,2,1.0,0,0
138,8,1.0,2,0
