Name,Team,Season,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Soft%,Hard%
Fernando Tatis Jr.,SDP,2021,0.33257919,0.80613497,0.47845805,0.8021309,0.14893617,0.48024316
Aaron Judge,NYY,2021,0.27028676,0.67487685,0.56659142,0.84233577,0.08564232,0.46851385
Miguel Sanó,MIN,2021,0.29433681,0.68464244,0.43037975,0.80136986,0.14930556,0.45486111
Shohei Ohtani,LAA,2021,0.30147965,0.71987642,0.52760736,0.77253219,0.10857143,0.45142857
Joey Votto,CIN,2021,0.24657534,0.71459695,0.57098765,0.81554878,0.08,0.44923077
Salvador Perez,KCR,2021,0.48335467,0.78674699,0.5589404,0.8330781,0.13436123,0.43832599
Bryce Harper,PHI,2021,0.29436039,0.74524313,0.54205607,0.78865248,0.12777778,0.43333333
Tyler O'Neill,STL,2021,0.32075472,0.75088132,0.5140665,0.77308294,0.14150943,0.42767296
Vladimir Guerrero Jr.,TOR,2021,0.28288169,0.76104418,0.55841121,0.84036939,0.10685484,0.41733871
Giancarlo Stanton,NYY,2021,0.31802836,0.63597884,0.58386412,0.79700499,0.16011236,0.41573034
Paul Goldschmidt,STL,2021,0.28148615,0.66092943,0.71588367,0.81119792,0.12076271,0.41313559
Mookie Betts,LAD,2021,0.22857143,0.64567769,0.68243243,0.93057851,0.13766234,0.41038961
Manny Machado,SDP,2021,0.32864545,0.7102593,0.63738739,0.8968254,0.15433404,0.40803383
Justin Turner,LAD,2021,0.28032899,0.68389662,0.7408313,0.89825581,0.11337868,0.40589569
Yoán Moncada,CHW,2021,0.27190722,0.65517241,0.57582938,0.84356725,0.14520548,0.40547945
Nick Castellanos,CIN,2021,0.40354767,0.79873418,0.56776557,0.83201268,0.12019231,0.40384615
Josh Donaldson,MIN,2021,0.26252019,0.71476888,0.61538462,0.81545741,0.12250712,0.4017094
Rafael Devers,BOS,2021,0.36103723,0.79659319,0.66850829,0.79119497,0.172949,0.40133038
José Ramírez,CLE,2021,0.27478043,0.65679926,0.76484018,0.93239437,0.18297872,0.39787234
Yordan Alvarez,HOU,2021,0.30250348,0.62108559,0.62758621,0.91092437,0.12911392,0.39493671
Max Muncy,LAD,2021,0.19078474,0.62200957,0.58490566,0.86,0.12698413,0.39417989
Kyle Tucker,HOU,2021,0.30763179,0.82618262,0.69565217,0.88415446,0.10213777,0.39192399
Juan Soto,WSN,2021,0.1514154,0.6284658,0.62608696,0.88676471,0.15942029,0.39130435
Adolis García,TEX,2021,0.39706862,0.75471698,0.55369128,0.78157895,0.09207161,0.3887468
J.D. Martinez,BOS,2021,0.36904762,0.79754601,0.60151803,0.81666667,0.10588235,0.38823529
Freddie Freeman,ATL,2021,0.29698525,0.80673759,0.74082073,0.84395604,0.11717172,0.38383838
Ryan McMahon,COL,2021,0.29058562,0.7439846,0.58928571,0.80336352,0.12694301,0.38341969
Trevor Story,COL,2021,0.33473389,0.76156218,0.56694561,0.86099865,0.14285714,0.38265306
Nelson Cruz,- - -,2021,0.35143288,0.74885321,0.58583691,0.81470138,0.16161616,0.38131313
Pete Alonso,NYM,2021,0.35007174,0.71349558,0.63934426,0.86356589,0.15525114,0.37899543
Joey Gallo,- - -,2021,0.22101911,0.6753122,0.43804035,0.72688478,0.15034965,0.37762238
Willy Adames,- - -,2021,0.31550802,0.73574561,0.54237288,0.78986587,0.14035088,0.37719298
Josh Bell,WSN,2021,0.27446483,0.75514874,0.64902507,0.84242424,0.12,0.375
José Abreu,CHW,2021,0.35857605,0.66540999,0.60649819,0.85977337,0.12240185,0.37413395
Avisaíl García,MIL,2021,0.41816462,0.82234957,0.55656109,0.77700348,0.15072464,0.37391304
Mitch Haniger,SEA,2021,0.32959502,0.65410959,0.55954631,0.82853403,0.18954248,0.37254902
Miguel Cabrera,DET,2021,0.33246753,0.70568182,0.62239583,0.85185185,0.11570248,0.37190083
Tommy Pham,SDP,2021,0.19328358,0.62572534,0.58687259,0.86244204,0.13960114,0.37037037
Jorge Soler,- - -,2021,0.26980874,0.71338251,0.52405063,0.8478582,0.15343915,0.37037037
Jed Lowrie,OAK,2021,0.25573192,0.72969967,0.60689655,0.85518293,0.11898017,0.36827195
Kyle Seager,SEA,2021,0.32955304,0.73080569,0.57894737,0.81712062,0.16816143,0.367713
Javier Báez,- - -,2021,0.46604718,0.77391304,0.53067485,0.7340824,0.19003115,0.36760125
Teoscar Hernández,TOR,2021,0.34347181,0.77021277,0.52267819,0.81767956,0.12871287,0.36633663
Hunter Dozier,KCR,2021,0.34078212,0.7137637,0.45667447,0.87030717,0.12389381,0.36578171
Carlos Correa,HOU,2021,0.27001985,0.62784349,0.65441176,0.8942029,0.16891892,0.36486486
Andrew McCutchen,PHI,2021,0.22323462,0.67305752,0.57823129,0.83958021,0.15406162,0.36414566
Bo Bichette,TOR,2021,0.42482406,0.8076555,0.68674699,0.88862559,0.14792899,0.36291913
Matt Olson,OAK,2021,0.28266178,0.73832599,0.68466523,0.84128878,0.19438445,0.36285097
Kyle Farmer,CIN,2021,0.3884083,0.65707134,0.71492205,0.89904762,0.15306122,0.3622449
C.J. Cron,COL,2021,0.33707865,0.67873832,0.64666667,0.83820998,0.17086835,0.36134454
Kris Bryant,- - -,2021,0.3034789,0.76844495,0.54146341,0.86262925,0.16842105,0.36052632
Hunter Renfroe,BOS,2021,0.35075758,0.68197474,0.67170626,0.84680135,0.18891688,0.36020151
Adam Duvall,- - -,2021,0.37588652,0.67905405,0.57861635,0.85406302,0.1871345,0.35964912
Jared Walsh,LAA,2021,0.34398782,0.69426752,0.6659292,0.84250765,0.17847769,0.35958005
Marcus Semien,TOR,2021,0.25753101,0.71626016,0.6353211,0.89103292,0.15127701,0.35952849
J.T. Realmuto,PHI,2021,0.3314192,0.72291904,0.66089109,0.81388013,0.17765043,0.35816619
Jesús Aguilar,MIA,2021,0.31953642,0.62237762,0.63212435,0.84082397,0.14325069,0.35812672
Nathaniel Lowe,TEX,2021,0.26854892,0.67893836,0.66992665,0.85372005,0.14572864,0.35678392
Enrique Hernández,BOS,2021,0.27640449,0.68924731,0.60162602,0.87831513,0.15308642,0.35555556
Austin Riley,ATL,2021,0.34634761,0.74577954,0.62727273,0.82023968,0.19534884,0.35348837
Brandon Lowe,TBR,2021,0.33767173,0.79393305,0.54603854,0.7826087,0.17789757,0.35309973
Xander Bogaerts,BOS,2021,0.34083388,0.63380282,0.70873786,0.86666667,0.15839243,0.35224586
Andrew Benintendi,KCR,2021,0.34642234,0.74498886,0.71788413,0.84304933,0.11166253,0.34987593
Trea Turner,- - -,2021,0.30693069,0.73600746,0.63133641,0.88086185,0.16973415,0.34969325
Luis Urías,MIL,2021,0.29135053,0.69375,0.71614583,0.84984985,0.19047619,0.34920635
Austin Meadows,TBR,2021,0.2903693,0.71515768,0.6084788,0.86486486,0.17326733,0.3490099
Ozzie Albies,ATL,2021,0.38530928,0.8342803,0.69063545,0.81498297,0.14173228,0.3484252
Eugenio Suárez,CIN,2021,0.27474048,0.66067653,0.50629723,0.8544,0.15634218,0.3480826
Eduardo Escobar,- - -,2021,0.33756166,0.71979695,0.69311065,0.83638928,0.16901408,0.34741784
Yandy Díaz,TBR,2021,0.22747157,0.6843292,0.69615385,0.87479407,0.15364583,0.34635417
Pavin Smith,ARI,2021,0.28669528,0.59275521,0.70359281,0.92222222,0.20101781,0.34605598
Bryan Reynolds,PIT,2021,0.28426052,0.78213935,0.58711217,0.8782936,0.15124153,0.34537246
Michael Brantley,HOU,2021,0.28707224,0.67156863,0.83112583,0.9379562,0.13669065,0.34532374
Ian Happ,CHC,2021,0.26303855,0.68716289,0.52586207,0.79905808,0.15705128,0.34294872
Jonathan India,CIN,2021,0.25,0.58168761,0.60994764,0.86728395,0.15656566,0.34090909
Trey Mancini,BAL,2021,0.34139785,0.66530612,0.61614173,0.8297546,0.18599034,0.34057971
Ryan Mountcastle,BAL,2021,0.41502809,0.77382319,0.60067682,0.79821958,0.16315789,0.33947368
Carlos Santana,KCR,2021,0.26468769,0.68503214,0.68457944,0.85790885,0.17987152,0.33832976
Yuli Gurriel,HOU,2021,0.29767103,0.62200436,0.8190709,0.92469352,0.16877637,0.33755274
Tim Anderson,CHW,2021,0.40496575,0.81926278,0.63002114,0.8490566,0.1393643,0.33740831
Nolan Arenado,STL,2021,0.33014354,0.67346939,0.70393375,0.92727273,0.1765873,0.33730159
Randal Grichuk,TOR,2021,0.35726644,0.74764151,0.61743341,0.90536278,0.16708229,0.33665835
Charlie Blackmon,COL,2021,0.29372385,0.69514768,0.68376068,0.88163885,0.19483568,0.33568075
Ty France,SEA,2021,0.34086097,0.73797339,0.68322981,0.9223301,0.17197452,0.33545648
Jeimer Candelario,DET,2021,0.32262295,0.70294118,0.6402439,0.87726639,0.17298578,0.33412322
